index;Review;Liked;dataCleaning;hilangkan_kapital;Review_clean;Review_clean_V2
910;I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.;0;I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off;i seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off;['seriously', 'believe', 'owner', 'many', 'unexperienced', 'employees', 'running', 'around', 'like', 'chickens', 'heads', 'cut'];seriously believe owner many unexperienced employees running around like chickens heads cut
911;Very, very sad.;0;Very very sad;very very sad;['sad'];sad
912;i felt insulted and disrespected, how could you talk and judge another human being like that?;0;i felt insulted and disrespected how could you talk and judge another human being like that;i felt insulted and disrespected how could you talk and judge another human being like that;['felt', 'insulted', 'disrespected', 'could', 'talk', 'judge', 'another', 'human', 'like'];felt insulted disrespected could talk judge another human like
913;How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!;0;How can you call yourself a steakhouse if you can t properly cook a steak I don t understand;how can you call yourself a steakhouse if you can t properly cook a steak i don t understand;['call', 'steakhouse', 'properly', 'cook', 'steak', 'understand'];call steakhouse properly cook steak understand
914;I'm not impressed with the concept or the food.;0;I m not impressed with the concept or the food;i m not impressed with the concept or the food;['impressed', 'concept', 'food'];impressed concept food
915;The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.;0;The only thing I wasn t too crazy about was their guacamole as I don t like it pur ed;the only thing i wasn t too crazy about was their guacamole as i don t like it pur ed;['thing', 'crazy', 'guacamole', 'like', 'pur', 'ed'];thing crazy guacamole like pur ed
916;There is really nothing for me at postinos, hope your experience is better;0;There is really nothing for me at postinos hope your experience is better;there is really nothing for me at postinos hope your experience is better;['really', 'nothing', 'postinos', 'hope', 'experience', 'better'];really nothing postinos hope experience better
917;I got food poisoning here at the buffet.;0;I got food poisoning here at the buffet;i got food poisoning here at the buffet;['got', 'food', 'poisoning', 'buffet'];got food poisoning buffet
918;They brought a fresh batch of fries and I was thinking yay something warm but no!;0;They brought a fresh batch of fries and I was thinking yay something warm but no;they brought a fresh batch of fries and i was thinking yay something warm but no;['brought', 'fresh', 'batch', 'fries', 'thinking', 'yay', 'something', 'warm'];brought fresh batch fries thinking yay something warm
919;What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.;0;What SHOULD have been a hilarious yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us;what should have been a hilarious yummy christmas eve dinner to remember was the biggest fail of the entire trip for us;['hilarious', 'yummy', 'christmas', 'eve', 'dinner', 'remember', 'biggest', 'fail', 'entire', 'trip', 'us'];hilarious yummy christmas eve dinner remember biggest fail entire trip us
920;Needless to say, I won't be going back anytime soon.;0;Needless to say I won t be going back anytime soon;needless to say i won t be going back anytime soon;['needless', 'say', 'going', 'back', 'anytime', 'soon'];needless say going back anytime soon
921;This place is disgusting!;0;This place is disgusting;this place is disgusting;['place', 'disgusting'];place disgusting
922;Every time I eat here, I see caring teamwork to a professional degree.;1;Every time I eat here I see caring teamwork to a professional degree;every time i eat here i see caring teamwork to a professional degree;['every', 'time', 'eat', 'see', 'caring', 'teamwork', 'professional', 'degree'];every time eat see caring teamwork professional degree
923;The RI style calamari was a joke.;0;The RI style calamari was a joke;the ri style calamari was a joke;['ri', 'style', 'calamari', 'joke'];ri style calamari joke
924;However, there was so much garlic in the fondue, it was barely edible.;0;However there was so much garlic in the fondue it was barely edible;however there was so much garlic in the fondue it was barely edible;['however', 'much', 'garlic', 'fondue', 'barely', 'edible'];however much garlic fondue barely edible
925;I could barely stomach the meal, but didn't complain because it was a business lunch.;0;I could barely stomach the meal but didn t complain because it was a business lunch;i could barely stomach the meal but didn t complain because it was a business lunch;['could', 'barely', 'stomach', 'meal', 'complain', 'business', 'lunch'];could barely stomach meal complain business lunch
926;It was so bad, I had lost the heart to finish it.;0;It was so bad I had lost the heart to finish it;it was so bad i had lost the heart to finish it;['bad', 'lost', 'heart', 'finish'];bad lost heart finish
927;It also took her forever to bring us the check when we asked for it.;0;It also took her forever to bring us the check when we asked for it;it also took her forever to bring us the check when we asked for it;['also', 'took', 'forever', 'bring', 'us', 'check', 'asked'];also took forever bring us check asked
928;We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!;0;We aren t ones to make a scene at restaurants but I just don t get it definitely lost the love after this one;we aren t ones to make a scene at restaurants but i just don t get it definitely lost the love after this one;['ones', 'make', 'scene', 'restaurants', 'get', 'definitely', 'lost', 'love', 'one'];ones make scene restaurants get definitely lost love one
929;Disappointing experience.;0;Disappointing experience;disappointing experience;['disappointing', 'experience'];disappointing experience
930;The food is about on par with Denny's, which is to say, not good at all.;0;The food is about on par with Denny s which is to say not good at all;the food is about on par with denny s which is to say not good at all;['food', 'par', 'denny', 'say', 'good'];food par denny say good
931;If you want to wait for mediocre food and downright terrible service, then this is the place for you.;0;If you want to wait for mediocre food and downright terrible service then this is the place for you;if you want to wait for mediocre food and downright terrible service then this is the place for you;['want', 'wait', 'mediocre', 'food', 'downright', 'terrible', 'service', 'place'];want wait mediocre food downright terrible service place
932;WAAAAAAyyyyyyyyyy over rated is all I am saying.;0;WAAAAAAyyyyyyyyyy over rated is all I am saying;waaaaaayyyyyyyyyy over rated is all i am saying;['waaaaaayyyyyyyyyy', 'rated', 'saying'];waaaaaayyyyyyyyyy rated saying
933;We won't be going back.;0;We won t be going back;we won t be going back;['going', 'back'];going back
934;The place was fairly clean but the food simply wasn't worth it.;0;The place was fairly clean but the food simply wasn t worth it;the place was fairly clean but the food simply wasn t worth it;['place', 'fairly', 'clean', 'food', 'simply', 'worth'];place fairly clean food simply worth
